wl,n,k
0.0778592,0.304662197,0.38024311
0.0780387,0.301988187,0.38501565
0.0782186,0.299240508,0.39000248
0.0783989,0.296569307,0.39501568
0.0785796,0.294121838,0.39985442
0.0787608,0.291437797,0.40514484
0.0789423,0.289085106,0.41010819
0.0791243,0.286758536,0.41516366
0.0793067,0.284354738,0.4204679
0.0794895,0.282033988,0.42579257
0.0796728,0.279902264,0.43097319
0.0798564,0.27764117,0.43649875
0.0800405,0.275648049,0.44175058
0.080225,0.273614055,0.447214
0.08041,0.271580696,0.45282919
0.0805953,0.269814652,0.45814805
0.0807811,0.268023144,0.46365613
0.0809673,0.266282027,0.46922594
0.081154,0.264684889,0.47468792
0.0813411,0.263032527,0.48039439
0.0815286,0.261582458,0.48587395
0.0817165,0.26023748,0.49129203
0.0819049,0.258807157,0.49700459
0.0820937,0.257513805,0.50258557
0.082283,0.256279277,0.50817621
0.0824726,0.255090306,0.51379656
0.0826628,0.254030992,0.51926899
0.0828533,0.252946192,0.52490197
0.0830443,0.252003915,0.53034255
0.0832357,0.251137729,0.53571831
0.0834276,0.250242529,0.54124846
0.0836199,0.249378244,0.54680295
0.0838127,0.24863058,0.55218752
0.0840059,0.247903522,0.55760688
0.0841996,0.247197407,0.56305706
0.0843937,0.246502633,0.56855648
0.0845882,0.245973226,0.57374207
0.0847832,0.245406117,0.57907594
0.0849787,0.244848185,0.58444429
0.0851746,0.244360535,0.58969257
0.0853709,0.243907897,0.59489336
0.0855677,0.243479631,0.60006071
0.085765,0.243058636,0.60522446
0.0859627,0.242648271,0.61036355
0.0861608,0.242252112,0.61545516
0.0863595,0.241856285,0.62052054
0.0865585,0.241508328,0.62542334
0.0867581,0.241091759,0.6304521
0.0869581,0.24067407,0.63542248
0.0871585,0.240251526,0.64033496
0.0873594,0.239811384,0.64521671
0.0875608,0.239313633,0.65017272
0.0877627,0.238812034,0.6550576
0.087965,0.238295646,0.65990221
0.0881678,0.237769856,0.66469559
0.088371,0.237148905,0.66968607
0.0885747,0.236576612,0.67447931
0.0887789,0.235884932,0.67956518
0.0889836,0.235251883,0.68444803
0.0891887,0.234573544,0.68944181
0.0893943,0.233864479,0.69452246
0.0896004,0.233150886,0.6996306
0.0898069,0.232462811,0.70469304
0.090014,0.231757539,0.70985652
0.0902215,0.231051283,0.71509137
0.0904294,0.230322481,0.72048439
0.0906379,0.229668026,0.72575094
0.0908469,0.22902208,0.73111313
0.0910563,0.228376067,0.73661646
0.0912662,0.227786775,0.74209386
0.0914766,0.227236429,0.74761516
0.0916874,0.226714569,0.75322696
0.0918988,0.226260105,0.7588101
0.0921107,0.225817082,0.76456008
0.092323,0.225448306,0.7702719
0.0925358,0.225152017,0.77595354
0.0927491,0.224881035,0.7817694
0.0929629,0.224703505,0.78748337
0.0931772,0.224558721,0.79330508
0.093392,0.224490269,0.79907808
0.0936073,0.224462626,0.80492339
0.0938231,0.224484106,0.8108061
0.0940394,0.224595396,0.81657152
0.0942562,0.224738107,0.82242262
0.0944735,0.224935324,0.82826702
0.0946913,0.225171447,0.83415284
0.0949095,0.225490337,0.83990745
0.0951283,0.225830939,0.84574725
0.0953476,0.226233958,0.8515102
0.0955674,0.226656144,0.85734862
0.0957877,0.22714231,0.86308335
0.0960085,0.227674845,0.86877048
0.0962299,0.22822262,0.87451938
0.0964517,0.228799828,0.88026722
0.096674,0.229418294,0.88595982
0.0968969,0.230069136,0.89162296
0.0971203,0.230770783,0.89717717
0.0973442,0.231450316,0.90289889
0.0975686,0.232190345,0.90846009
0.0977935,0.23294656,0.91402734
0.0980189,0.233699821,0.91967075
0.0982449,0.234485479,0.92524674
0.0984713,0.235294488,0.93078635
0.0986983,0.236105904,0.93636871
0.0989259,0.236957955,0.94183901
0.0991539,0.237788837,0.94744004
0.0993825,0.238666424,0.95289947
0.0996116,0.23953514,0.95843701
0.0998412,0.240435013,0.96389134
0.100071,0.241340472,0.96936377
0.100302,0.242243606,0.9748857
0.100533,0.243171098,0.98034964
0.100765,0.244108213,0.98581493
0.100997,0.245052195,0.99129318
0.10123,0.246010602,0.99675455
0.101464,0.246977223,1.00222516
0.101697,0.247951053,1.00771037
0.101932,0.248953201,1.01312576
0.102167,0.249945831,1.01862686
0.102402,0.250971761,1.02404109
0.102638,0.251987061,1.02954954
0.102875,0.253030413,1.0349964
0.103112,0.254073518,1.04049951
0.10335,0.255135601,1.04598252
0.103588,0.256210828,1.05147165
0.103827,0.257300509,1.05696396
0.104066,0.258409239,1.06244302
0.104306,0.259509065,1.06802638
0.104547,0.260652837,1.07349917
0.104788,0.261795834,1.07904809
0.105029,0.262965969,1.08456084
0.105271,0.264149144,1.09009825
0.105514,0.265345904,1.09566091
0.105757,0.266565959,1.10121161
0.106001,0.267796761,1.10680517
0.106245,0.269050608,1.1123939
0.10649,0.270315957,1.11802878
0.106736,0.271614745,1.12362251
0.106982,0.272926323,1.12926418
0.107228,0.274267962,1.13488622
0.107476,0.275619923,1.14057452
0.107723,0.277011037,1.14621431
0.107972,0.278412555,1.15192948
0.108221,0.279851427,1.15761387
